% x                      y                        z                        (V)[1/(V)]               
-0.00102                 0.00246                  0.28                     -10.158958052064499      
-0.00107                 0.00204                  0.28001                  -10.155196292091205      
-0.00115                 0.00164                  0.28002                  -10.152029418671823      
-0.00125                 0.00125                  0.28003                  -10.149479677438563      
-0.00137                 8.7E-4                   0.28004                  -10.147532177367964      
-0.0015                  5.0E-4                   0.28005                  -10.145695616397019      
-0.00162                 2.3E-4                   0.28006                  -10.144424674102005      
-0.00176                 -4.0E-5                  0.28007                  -10.143093563421104      
-0.00192                 -3.0E-4                  0.28008                  -10.14182129839091       
-0.00211                 -5.5E-4                  0.28009                  -10.140708952306731      
-0.0023                  -8.0E-4                  0.2801                   -10.139667884749796      
