% x                      y                        z                        (V)[1/(V)]               
-0.00126                 0.0025                   0.267                    -10.15082381595594       
-0.00127                 0.00206                  0.26701                  -10.144883293663849      
-0.00131                 0.00164                  0.26702                  -10.14015973358485       
-0.00136                 0.00124                  0.26703                  -10.13636093243749       
-0.00142                 8.6E-4                   0.26704                  -10.133034329962587      
-0.0015                  5.0E-4                   0.26705                  -10.129841893327068      
-0.00158                 2.8E-4                   0.26706                  -10.128055859293049      
-0.00172                 7.0E-5                   0.26707                  -10.126355983457465      
-0.00189                 -1.3E-4                  0.26708                  -10.124699705042534      
-0.00209                 -3.2E-4                  0.26709                  -10.123052368281455      
-0.0023                  -5.0E-4                  0.2671                   -10.121413074304987      
