% x                      y                        z                        (V)[1/(V)]               
-9.9E-4                  0.0013                   0.267                    -10.136828142218091      
-0.00104                 0.00128                  0.26701                  -10.136524068966832      
-0.0011                  0.00127                  0.26702                  -10.136340523445417      
-0.00114                 0.00125                  0.26703                  -10.136239113208104      
-0.00118                 0.00122                  0.26704                  -10.13602430638229       
-0.0012                  0.0012                   0.26705                  -10.135868062590108      
-0.00123                 0.00112                  0.26707                  -10.135181587039256      
-0.00126                 0.00102                  0.26708                  -10.134320935026805      
-0.00128                 9.0E-4                   0.26709                  -10.133298088042768      
-0.0013                  7.6E-4                   0.2671                   -10.13203969907993       
-0.0013                  6.0E-4                   0.2671                   -10.13069896616364       
