% x                      y                        z                        (V)[1/(V)]               
-9.3E-4                  0.00129                  0.274                    -10.144601226015574      
-0.00106                 0.00101                  0.27401                  -10.142391554236053      
-0.0012                  7.4E-4                   0.27401                  -10.14087578754669       
-0.00135                 4.8E-4                   0.27403                  -10.139543945547594      
-0.00152                 2.4E-4                   0.27404                  -10.138193764937817      
-0.0017                  0.0                      0.27405                  -10.136807665895693      
-0.00181                 -1.3E-4                  0.27406                  -10.136074242454331      
-0.00192                 -2.5E-4                  0.27407                  -10.135410514074454      
-0.00204                 -3.7E-4                  0.27408                  -10.134671029908212      
-0.00217                 -4.9E-4                  0.27409                  -10.133932099538324      
-0.0023                  -6.0E-4                  0.2741                   -10.13326332454496       
