% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.271                    -10.137291684952775      
-4.0E-4                  7.9E-4                   0.271                    -10.137248829286799      
-6.7E-4                  7.4E-4                   0.27101                  -10.136509696275501      
-9.0E-4                  6.8E-4                   0.27102                  -10.136303665858248      
-0.00107                 6.0E-4                   0.27103                  -10.136009922540955      
-0.0012                  5.0E-4                   0.27105                  -10.135526501811803      
-0.00123                 4.6E-4                   0.27106                  -10.135311301502167      
-0.00125                 4.1E-4                   0.27107                  -10.135021368226578      
-0.00127                 3.4E-4                   0.27108                  -10.1345946546261        
-0.00129                 2.7E-4                   0.27109                  -10.13415368839227       
-0.0013                  2.0E-4                   0.2711                   -10.133679434339415      
