% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.277                    -10.14431393149278       
-4.0E-4                  7.9E-4                   0.277                    -10.144303293929761      
-6.7E-4                  7.7E-4                   0.27701                  -10.14396761819156       
-9.0E-4                  7.3E-4                   0.27702                  -10.14389396156213       
-0.00108                 6.7E-4                   0.27703                  -10.143808078481934      
-0.0012                  6.0E-4                   0.27705                  -10.143580832829574      
-0.00123                 5.7E-4                   0.27706                  -10.143463256193758      
-0.00125                 5.1E-4                   0.27707                  -10.14319678141098       
-0.00127                 4.5E-4                   0.27708                  -10.142935459690102      
-0.00129                 3.7E-4                   0.27709                  -10.142574454441487      
-0.0013                  3.0E-4                   0.2771                   -10.142253425277934      
