% x                      y                        z                        (V)[1/(V)]               
-8.0E-5                  8.0E-4                   0.267                    -10.132033081766952      
-3.2E-4                  5.5E-4                   0.26701                  -10.129527517860954      
-5.7E-4                  3.2E-4                   0.26702                  -10.128434523836345      
-8.4E-4                  1.2E-4                   0.26703                  -10.127320849886871      
-0.00111                 -6.0E-5                  0.26704                  -10.125882484377765      
-0.0014                  -2.0E-4                  0.26705                  -10.124639846951629      
-0.00159                 -2.8E-4                  0.26706                  -10.12388091979111       
-0.00178                 -3.5E-4                  0.26707                  -10.123182281860469      
-0.00198                 -4.1E-4                  0.26708                  -10.122511674833627      
-0.00219                 -4.6E-4                  0.26709                  -10.121864433737478      
-0.0024                  -5.0E-4                  0.2671                   -10.121259587872387      
